Area,Pincode,Date,Actual_Waste_kg
Indiranagar,560014,2025-01-01,22134
Indiranagar,560014,2025-01-02,25057
Indiranagar,560014,2025-01-03,23732
Indiranagar,560014,2025-01-04,24089
Indiranagar,560014,2025-01-05,22705
Indiranagar,560014,2025-01-06,25290
Indiranagar,560014,2025-01-07,24939
Indiranagar,560014,2025-01-08,24796
Indiranagar,560014,2025-01-09,25542
Indiranagar,560014,2025-01-10,20332
Indiranagar,560014,2025-01-11,20493
Indiranagar,560014,2025-01-12,24941
Indiranagar,560014,2025-01-13,20044
Indiranagar,560014,2025-01-14,25078
Indiranagar,560014,2025-01-15,22836
Indiranagar,560014,2025-01-16,25663
Indiranagar,560014,2025-01-17,24868
Indiranagar,560014,2025-01-18,21530
Indiranagar,560014,2025-01-19,24555
Indiranagar,560014,2025-01-20,24106
Indiranagar,560014,2025-01-21,20198
Indiranagar,560014,2025-01-22,22076
Indiranagar,560014,2025-01-23,24398
Indiranagar,560014,2025-01-24,25345
Indiranagar,560014,2025-01-25,22352
Indiranagar,560014,2025-01-26,20783
Indiranagar,560014,2025-01-27,22820
Indiranagar,560014,2025-01-28,22788
Indiranagar,560014,2025-01-29,19985
Indiranagar,560014,2025-01-30,21859
Indiranagar,560014,2025-01-31,24596
Indiranagar,560014,2025-02-01,21127
Indiranagar,560014,2025-02-02,25632
Indiranagar,560014,2025-02-03,22635
Indiranagar,560014,2025-02-04,21100
Indiranagar,560014,2025-02-05,24824
Indiranagar,560014,2025-02-06,25489
Indiranagar,560014,2025-02-07,23489
Indiranagar,560014,2025-02-08,24643
Indiranagar,560014,2025-02-09,21715
Indiranagar,560014,2025-02-10,22100
Indiranagar,560014,2025-02-11,25350
Indiranagar,560014,2025-02-12,24197
Indiranagar,560014,2025-02-13,21335
Indiranagar,560014,2025-02-14,22184
Indiranagar,560014,2025-02-15,24943
Indiranagar,560014,2025-02-16,22177
Indiranagar,560014,2025-02-17,22101
Indiranagar,560014,2025-02-18,23271
Indiranagar,560014,2025-02-19,23207
Indiranagar,560014,2025-02-20,25677
